date, temperature, precipitation, snow accumulate, switch
----- day 1 -----
2017-01-28 13:02:00, -4.2, 0.004, 0.0436908805569, off
2017-01-28 13:02:30, -4.2, 0.004, 0.0450707363669, off
2017-01-28 13:03:00, -4.2, 0.004, 0.0466841651662, off
2017-01-28 13:03:30, -4.2, 0.004, 0.0484438545017, off
2017-01-28 13:04:00, -4.2, 0.004, 0.0502951334745, off
2017-01-28 13:04:30, -4.2, 0.004, 0.0522037697575, on
2017-01-28 13:05:00, -4.2, 0.004, 0.0509396196823, on
2017-01-28 13:05:30, -4.2, 0.004, 0.0476888304658, on
2017-01-28 13:06:00, -4.2, 0.004, 0.0431941104285, off
2017-01-28 13:06:30, -4.2, 0.004, 0.0411292167733, off
2017-01-28 13:07:00, -4.2, 0.004, 0.040585771657, off
2017-01-28 13:07:30, -4.2, 0.004, 0.0409949925271, off
2017-01-28 13:08:00, -4.2, 0.004, 0.0420007350683, off
2017-01-28 13:08:30, -4.2, 0.004, 0.0433799988018, off
2017-01-28 13:09:00, -4.2, 0.004, 0.0449931515159, off
2017-01-28 13:09:30, -4.2, 0.004, 0.0467527621985, off
2017-01-28 13:10:00, -4.2, 0.004, 0.0486040857175, off
2017-01-28 13:10:30, -4.2, 0.004, 0.050512560973, off
2017-01-28 13:11:00, -4.2, 0.004, 0.0524570079664, on
2017-01-28 13:11:30, -4.2, 0.004, 0.0512152780817, on
2017-01-28 13:12:00, -4.2, 0.004, 0.0479785245945, on
2017-01-28 13:12:30, -4.2, 0.004, 0.043492590379, off
2017-01-28 13:13:00, -4.2, 0.004, 0.0414331953453, off
2017-01-28 13:13:30, -4.2, 0.004, 0.0408931906638, off
2017-01-28 13:14:00, -4.2, 0.004, 0.0413045633322, off
2017-01-28 13:14:30, -4.2, 0.004, 0.0423116508913, off
2017-01-28 13:15:00, -4.2, 0.004, 0.0436917545787, off
2017-01-28 13:15:30, -4.2, 0.004, 0.0453054311036, off
2017-01-28 13:16:00, -4.2, 0.004, 0.0470653677479, off
2017-01-28 13:16:30, -4.2, 0.004, 0.0489168934508, off
2017-01-28 13:17:00, -4.2, 0.004, 0.0508257757875, off
2017-01-28 13:17:30, -4.2, 0.004, 0.0527705800246, on
2017-01-28 13:18:00, -4.2, 0.004, 0.0515291757351, on
2017-01-28 13:18:30, -4.2, 0.004, 0.0482927277247, on
2017-01-28 13:19:00, -4.2, 0.004, 0.043807086088, off
2017-01-28 13:19:30, -4.2, 0.004, 0.0417479752565, off
2017-01-28 13:20:00, -4.2, 0.004, 0.0412082490971, off
2017-01-28 13:20:30, -4.2, 0.004, 0.0416204772506, off
2017-01-28 13:21:00, -4.2, 0.004, 0.0426284144131, off
2017-01-28 13:21:30, -4.2, 0.004, 0.0440093624222, off
2017-01-28 13:22:00, -4.2, 0.004, 0.0456238783707, off
2017-01-28 13:22:30, -4.2, 0.004, 0.0473846497879, off
2017-01-28 13:23:00, -4.2, 0.004, 0.0492370057755, off
2017-01-28 13:23:30, -4.2, 0.004, 0.0511467140175, off
2017-01-28 13:24:00, -4.2, 0.004, 0.0530923398558, on
2017-01-28 13:24:30, -4.2, 0.004, 0.0518517529177, on
2017-01-28 13:25:00, -4.2, 0.004, 0.048616118585, on
2017-01-28 13:25:30, -4.2, 0.004, 0.0441312873131, off
2017-01-28 13:26:00, -4.2, 0.004, 0.0420729837608, off
2017-01-28 13:26:30, -4.2, 0.004, 0.0415340614104, off
2017-01-28 13:27:00, -4.2, 0.004, 0.0419465087181, off
2017-01-28 13:27:30, -4.2, 0.004, 0.0429546641485, off
2017-01-28 13:28:00, -4.2, 0.004, 0.0443358295278, off
2017-01-28 13:28:30, -4.2, 0.004, 0.045950561944, off
2017-01-28 13:29:00, -4.2, 0.004, 0.0477115489257, off
2017-01-28 13:29:30, -4.2, 0.004, 0.0495641195762, off
2017-01-28 13:30:00, -4.2, 0.004, 0.0514740415829, off
2017-01-28 13:30:30, -4.2, 0.004, 0.0534180201849, on
2017-01-28 13:31:00, -4.2, 0.004, 0.0521757953656, on
2017-01-28 13:31:30, -4.2, 0.004, 0.0489385312387, on
2017-01-28 13:32:00, -4.2, 0.004, 0.0444520774662, off
2017-01-28 13:32:30, -4.2, 0.004, 0.0423921582092, off
2017-01-28 13:33:00, -4.2, 0.004, 0.0418516278714, off
2017-01-28 13:33:30, -4.2, 0.004, 0.0422624754737, off
2017-01-28 13:34:00, -4.2, 0.004, 0.043269039822, off
2017-01-28 13:34:30, -4.2, 0.004, 0.0446486229444, off
2017-01-28 13:35:00, -4.2, 0.004, 0.0462617820437, off
2017-01-28 13:35:30, -4.2, 0.004, 0.0480212047094, off
2017-01-28 13:36:00, -4.2, 0.004, 0.0498722200715, off
